"national_id","","","description","type1","type2","previous_pokemon","id","name"
"50","","","Les Taupiqueur sont élevés dans la plupart des fermes. En effet, lorsque ce Pokémon creuse quelque part, le sol est comme labouré, prêt à recevoir les semences. On peut alors y planter de délicieux légumes.","15","","","50","Taupiqueur"
"51","","","Les Triopikeur sont en fait des triplés qui ont émergé du même corps. C'est pourquoi chaque triplé pense exactement comme les deux autres. Ils creusent inlassablement, dans une coopération parfaite.","15","","50","51","Triopikeur"
"52","","","Miaouss peut rentrer ses griffes dans ses pattes pour rôder gracieusement sans laisser de traces. Étrangement, ce Pokémon raffole des pièces d'or qui brillent à la lumière.","10","17","","52","Miaouss"
"53","","","Persian a six grosses vibrisses qui lui donnent un air costaud et lui permettent de sentir les mouvements de l'air pour savoir ce qui se trouve à proximité. Il devient docile lorsqu'on l'attrape par les moustaches.","10","17","52","53","Persian"
"54","","","Lorsqu'il utilise son mystérieux pouvoir, Psykokwak ne s'en souvient pas. Apparemment, il ne peut pas garder ce genre d'événement en mémoire, car il pratique ce pouvoir dans un état proche du sommeil profond.","4","","","54","Psykokwak"
"55","","","Akwakwak est le Pokémon qui nage le plus vite. Il nage sans se fatiguer, même lorsque la mer est agitée. Il sauve parfois des gens coincés dans les navires bloqués en haute mer.","4","","54","55","Akwakwak"
"56","","","Lorsque Férosinge commence à trembler et que sa respiration devient haletante, cela signifie qu'il est en colère. En outre, la moutarde lui monte au nez tellement vite qu'il est presque impossible d'échapper à sa colère.","2","","","56","Férosinge"
"57","","","Lorsque Colossinge devient furieux, sa circulation sanguine s'accélère. Du coup, ses muscles sont encore plus puissants. En revanche, il devient bien moins intelligent.","2","","56","57","Colossinge"
"58","","","Caninos a un odorat très développé. Ce Pokémon n'oublie jamais un parfum, quel qu'il soit. Il utilise son puissant sens olfactif pour deviner les émotions des autres créatures vivantes.","7","","","58","Caninos"
"59","","","Arcanin est célèbre pour son extraordinaire vitesse. On le dit capable de parcourir plus de 10 000 km en 24 h. Le feu qui fait rage à l'intérieur du corps de ce Pokémon est la source de son pouvoir.","7","","58","59","Arcanin"
"60","","","Ptitard a une peau très fine. On peut même voir les entrailles en spirale de ce Pokémon à travers sa peau. Malgré sa finesse, cette peau est aussi très élastique. Même les crocs les plus acérés rebondissent dessus.","4","","","60","Ptitard"
"61","","","La peau de Têtarte est toujours maintenue humide par un liquide huileux. Grâce à cette protection graisseuse, il peut facilement se glisser hors de l'étreinte de n'importe quel ennemi.","4","","60","61","Têtarte"
"62","","","Les muscles solides et surdéveloppés de Tartard ne se fatiguent jamais, quels que soient les efforts qu'il produit. Ce Pokémon est tellement endurant qu'il peut traverser un océan à la nage avec une étonnante facilité.","4","2","61","62","Tartard"
"63","","","Abra doit dormir dix-huit heures par jour. S'il dort moins, ce Pokémon ne peut plus utiliser ses pouvoirs télékinétiques. Lorsqu'il est attaqué, Abra s'enfuit en utilisant Téléport, sans même se réveiller.","13","","","63","Abra"
"64","","","Kadabra tient une cuiller en argent dans la main. Elle est utilisée pour amplifier les ondes alpha de son cerveau. Sans elle, on raconte que ce Pokémon ne peut utiliser que la moitié de ses pouvoirs télékinétiques.","13","","63","64","Kadabra"
"65","","","Le cerveau d'Alakazam grossit sans arrêt, multipliant sans cesse ses cellules. Ce Pokémon a un QI incroyablement élevé, de 5 000. Il peut garder en mémoire tout ce qui s'est passé dans le monde.","13","","64","65","Alakazam"
"66","","","Machoc s'entraîne en soulevant un Gravalanch, comme s'il s'agissait d'haltères. Certains Machoc voyagent un peu partout dans le monde pour apprendre à maîtriser tous les types d'arts martiaux.","2","","","66","Machoc"
"67","","","Machopeur pratique le body-building tous les jours, même lorsqu'il aide les gens à réaliser de durs travaux. Pendant ses congés, ce Pokémon va s'entraîner dans les champs et les montagnes.","2","","66","67","Machopeur"
"68","","","Mackogneur est célèbre, car c'est le seul Pokémon qui a réussi à maîtriser tous les types d'arts martiaux. S'il parvient à attraper son ennemi avec ses quatre bras, il le projette par-delà l'horizon.","2","","67","68","Mackogneur"
"69","","","Le corps long et flexible de Chétiflor lui permet de se tordre et d'osciller pour éviter tout type d'attaque, même les plus puissantes. Ce Pokémon crache un fluide corrosif qui peut même dissoudre le fer.","11","12","","69","Chétiflor"
"70","","","Boustiflor est doté d'un gros crochet. La nuit, ce Pokémon s'accroche à une branche pour s'endormir. Quand il a un sommeil agité, il se réveille par terre.","11","12","69","70","Boustiflor"
"71","","","Empiflor est doté d'une longue liane qui part de sa tête. Cette liane se balance et remue comme un animal pour attirer ses proies. Lorsque l'une d'elles s'approche un peu trop près, ce Pokémon l'avale entièrement.","11","12","70","71","Empiflor"
"72","","","Grâce à l'eau de son corps, Tentacool convertit la lumière du soleil absorbée et la renvoie sous forme de rayon d'énergie. Ce Pokémon lance ces rayons par le petit organe rond situé au-dessus de ses yeux.","4","12","","72","Tentacool"
"73","","","Les tentacules de Tentacruel peuvent s'allonger et se rétracter à volonté. Il serre sa proie dans ses tentacules et l'affaiblit en lui injectant une toxine. Il peut attraper jusqu'à 80 proies en même temps.","4","12","72","73","Tentacruel"
"74","","","Pour dormir profondément, Racaillou s'enterre à moitié dans le sol. Il ne se réveille pas, même si des randonneurs lui marchent dessus. Au petit matin, ce Pokémon roule en contrebas en quête de nourriture.","14","15","","74","Racaillou"
"75","","","La nourriture préférée de Gravalanch est la roche. Ce Pokémon escalade parfois les montagnes, dévorant les rochers sur son passage. Une fois au sommet, il se laisse rouler jusqu'en bas.","14","15","74","75","Gravalanch"
"76","","","On sait que les Grolem se laissent rouler en bas des montagnes. Afin d'éviter qu'ils roulent sur les maisons des gens, des tranchées ont été creusées le long des montagnes pour les guider dans leurs descentes infernales.","14","15","75","76","Grolem"
"77","","","À sa naissance, Ponyta est très faible. Il peut à peine tenir debout. Ce Pokémon se muscle en trébuchant et en tombant, lorsqu'il essaie de suivre ses parents.","7","","","77","Ponyta"
"78","","","On voit souvent Galopa trotter dans les champs et les plaines. Cependant, lorsque ce Pokémon s'en donne la peine, il peut galoper à plus de 240 km/h et sa crinière flamboyante s'embrase.","7","","77","78","Galopa"
"79","","","Ramoloss trempe sa queue dans l'eau au bord des rivières pour attraper ses proies. Cependant, ce Pokémon oublie souvent ce qu'il fait là et passe des jours entiers à traîner au bord de l'eau.","4","13","","79","Ramoloss"
"80","","","Flagadoss a un Kokiyas solidement attaché à sa queue. Du coup, il ne peut plus l'utiliser pour pêcher. Flagadoss est donc obligé, à contrecœur, de nager pour attraper ses proies.","4","13","79","80","Flagadoss"
"81","","","Magnéti flotte dans les airs en émettant des ondes électromagnétiques par les aimants sur ses côtés. Ces ondes annulent les effets de la gravité. Ce Pokémon ne peut plus voler si son stock d'électricité est épuisé.","5","1","","81","Magnéti"
"82","","","Magnéton émet un puissant champ magnétique qui neutralise les appareils électroniques. Certaines villes demandent aux propriétaires de ces Pokémon de les garder dans leurs Poké Balls.","5","1","81","82","Magnéton"
"83","","","On voit souvent des Canarticho avec une tige, récupérée sur une plante quelconque. Apparemment, ils peuvent distinguer les bonnes des mauvaises. On a vu ces Pokémon se battre pour des histoires de tiges.","10","18","","83","Canarticho"
"84","","","Les deux têtes de Doduo contiennent des cerveaux totalement identiques. Une étude scientifique démontra que dans des cas rares, certains de ces Pokémon possèdent des cerveaux différents.","10","18","","84","Doduo"
"85","","","Apparemment, Dodrio ne se contente pas d'avoir trois têtes. Il semble également avoir trois cœurs et six poumons, ce qui lui permet de courir très longtemps sans s'épuiser.","10","18","84","85","Dodrio"
"86","","","Otaria chasse ses proies dans l'eau gelée, sous la couche de glace. Lorsqu'il cherche à respirer, il perce un trou en frappant la glace avec la partie saillante de sa tête.","4","","","86","Otaria"
"87","","","Lamantine adore piquer un roupillon à même la glace. Il y a très longtemps, un marin ayant aperçu ce Pokémon dormant sur un glacier a cru voir une sirène.","4","8","86","87","Lamantine"
"88","","","Tadmorv est apparu dans la vase accumulée sur un bord de mer pollué. Ce Pokémon aime tout ce qui est dégoûtant. Une substance pleine de germes suinte constamment de tout son corps.","12","","","88","Tadmorv"
"89","","","Ce Pokémon ne mange que ce qui est répugnant et abject. Les Grotadmorv se rassemblent dans les villes où les gens jettent tout par terre, dans la rue.","12","","88","89","Grotadmorv"
"90","","","La nuit, ce Pokémon utilise sa grande langue pour creuser un trou dans le sable des fonds marins afin d'y dormir. Une fois endormi, Kokiyas referme sa coquille, mais laisse sa langue dépasser.","4","","","90","Kokiyas"
"91","","","Crustabri est capable de se déplacer dans les fonds marins en avalant de l'eau et en la rejetant vers l'arrière. Ce Pokémon envoie des pointes en utilisant la même méthode.","4","8","90","91","Crustabri"
"92","","","Fantominus est principalement constitué de matière gazeuse. Lorsqu'il est exposé au vent, son corps gazeux se disperse et diminue. Des groupes de ce Pokémon se rassemblent sous les auvents des maisons pour se protéger.","16","12","","92","Fantominus"
"93","","","Spectrum est un Pokémon dangereux. Si l'un d'entre eux fait signe d'approcher, il ne faut jamais l'écouter. Ce Pokémon risque de sortir sa langue pour essayer de voler votre vie.","16","12","92","93","Spectrum"
"94","","","Parfois, pendant les nuits noires, une ombre projetée par un réverbère peut tout à coup vous dépasser. Il s'agit d'un Ectoplasma qui court, en se faisant passer pour l'ombre de quelqu'un d'autre.","16","12","93","94","Ectoplasma"
"95","","","Onix a dans le cerveau un aimant qui lui sert de boussole. Il permet à ce Pokémon de ne pas se perdre pendant qu'il creuse. En prenant de l'âge, son corps s'arrondit et se polit.","14","15","","95","Onix"
"96","","","Lorsque les enfants ont le nez qui les démange en dormant, c'est sans doute parce que ce Pokémon se tient au-dessus de leur oreiller, afin d'essayer de manger leurs rêves par leurs narines.","13","","","96","Soporifik"
"97","","","Hypnomade tient un pendule dans sa main. Le mouvement de balancier et les reflets brillants du pendule hypnotisent profondément son ennemi. Lorsque ce Pokémon cherche ses proies, il nettoie son pendule.","13","","96","97","Hypnomade"
"98","","","Krabby vit sur les plages, enterré dans le sable. Sur les plages où on trouve peu de nourriture, on peut voir ces Pokémon se disputer pour défendre leur territoire.","4","","","98","Krabby"
"99","","","Krabboss est doté d'une pince gigantesque, surdimensionnée. Il l'agite en l'air pour communiquer avec ses semblables. En revanche, sa pince est tellement lourde que ce Pokémon se fatigue très vite.","4","","98","99","Krabboss"
"100","","","Voltorbe est extrêmement sensible. Il explose au moindre choc. On raconte qu'il fut créé par l'exposition d'une Poké Ball à une puissante dose d'énergie.","5","","","100","Voltorbe"
"101","","","L'une des caractéristiques d'Électrode est son attirance pour l'électricité. Ces Pokémon posent problème lorsqu'ils se rassemblent dans les centrales électriques pour se nourrir de courant fraîchement généré.","5","","100","101","Électrode"
"102","","","Ce Pokémon est constitué de six œufs formant une grappe serrée. Ces six œufs s'attirent mutuellement et pivotent. Quand des fissures apparaissent sur les coquilles, ça signifie que Noeunoeuf est sur le point d'évoluer.","11","13","","102","Noeunoeuf"
"103","","","Noadkoko vient des tropiques. À force de vivre sous un soleil ardent, ses têtes ont rapidement grandi. On raconte que lorsque ses têtes tombent, elles se rassemblent et forment un Noeunoeuf.","11","13","102","103","Noadkoko"
"104","","","La maman d'Osselait lui manque terriblement et il ne la reverra jamais. La lune le fait pleurer, car elle lui rappelle sa mère. Les taches sur le crâne que porte ce Pokémon sont les marques de ses larmes.","15","","","104","Osselait"
"105","","","Ossatueur est la forme évoluée d'Osselait. Il a surmonté le chagrin causé par la perte de sa maman et s'est endurci. Le tempérament décidé et entier de ce Pokémon le rend très difficile à amadouer.","15","7","104","105","Ossatueur"
"106","","","Les jambes de Kicklee peuvent se contracter et s'étirer à volonté. Grâce à ces jambes à ressort, il terrasse ses ennemis en les rouant de coups de pied. Après les combats, il masse ses jambes pour éviter de sentir la fatigue.","2","","","106","Kicklee"
"107","","","On raconte que Tygnon dispose de l'état d'esprit d'un boxeur qui s'entraîne pour le championnat du monde. Ce Pokémon est doté d'une ténacité à toute épreuve et n'abandonne jamais face à l'adversité.","2","","106","107","Tygnon"
"108","","","Chaque fois qu'Excelangue découvre quelque chose de nouveau, il le lèche. Sa mémoire est basée sur le goût et la texture des objets. Il n'aime pas les choses acides.","10","","","108","Excelangue"
"109","","","Smogo est composé de substances toxiques. Il mélange des toxines et des détritus pour déclencher une réaction chimique générant un gaz très dangereux. Plus la température est élevée, plus la quantité de gaz est importante.","12","","","109","Smogo"
"110","","","Smogogo rétrécit ou gonfle ses deux corps pour mélanger les gaz toxiques qui s'y trouvent. Lorsque les gaz sont bien mélangés, la toxine devient très puissante. Le Pokémon se putréfie aussi un peu plus.","12","","109","110","Smogogo"
"111","","","Le cerveau de Rhinocorne est tout petit, à tel point que lorsqu'il attaque, il lui arrive d'oublier pourquoi il a commencé à charger. Il lui arrive de se souvenir qu'il a démoli certaines choses.","15","14","","111","Rhinocorne"
"112","","","La corne de Rhinoféros lui sert de foreuse. Il l'utilise pour détruire des rochers et des cailloux. Ce Pokémon charge de temps en temps dans du magma en fusion, mais sa peau blindée le protège de la chaleur.","15","14","111","112","Rhinoféros"
"113","","","Leveinard pond tous les jours des œufs pleins de vitamines. Ces œufs sont tellement bons que les gens les mangent même quand ils n'ont pas faim.","10","","","113","Leveinard"
"114","","","Les lianes de Saquedeneu se brisent facilement lorsqu'on les attrape. Cela ne lui fait pas mal et lui permet simplement de s'échapper rapidement. Les lianes cassées repoussent le lendemain.","11","","","114","Saquedeneu"
"115","","","Lorsqu'on rencontre un petit Kangourex qui joue tout seul, il ne faut jamais le déranger ou essayer de l'attraper. Les parents du bébé Pokémon sont sûrement dans le coin et ils risquent d'entrer dans une colère noire.","10","10","","115","Kangourex"
"116","","","Lorsque Hypotrempe sent un danger, il libère instinctivement une épaisse encre noire pour pouvoir s'échapper. Ce Pokémon nage en agitant sa nageoire dorsale.","4","","","116","Hypotrempe"
"117","","","Hypocéan déclenche des tourbillons en faisant tournoyer son corps. Ces tourbillons sont assez puissants pour engloutir des bateaux de pêche. Ce Pokémon affaiblit sa proie grâce à ces courants, puis l'avale en une bouchée.","4","","116","117","Hypocéan"
"118","","","Poissirène adore nager librement dans les rivières et les étangs. Si l'un de ces Pokémon est mis dans un aquarium, il n'hésitera pas à casser la vitre avec sa puissante corne pour s'enfuir.","4","","","118","Poissirène"
"119","","","Les Poissoroy font tout pour protéger leurs œufs. Les mâles et les femelles patrouillent pour surveiller le nid et les œufs. La garde de ces œufs dure un peu plus d'un mois.","4","","118","119","Poissoroy"
"120","","","Stari communique apparemment avec les étoiles dans le ciel en faisant clignoter son cœur rouge. Si des parties de son corps sont cassées, ce Pokémon les régénère.","4","","","120","Stari"
"121","","","Staross nage en faisant tournoyer son corps en forme d'étoile, un peu à la manière d'une hélice de bateau. Le cœur au centre du corps de ce Pokémon brille de sept couleurs.","4","13","120","121","Staross"
"122","","","M. Mime est un pantomime hors pair. Ses gestes et ses mouvements parviennent à faire croire que quelque chose d'invisible existe réellement. Lorsqu'on y croit, ces choses deviennent palpables.","13","6","","122","M.Mime"
"123","","","Insécateur est incroyablement rapide. Sa vitesse fulgurante améliore l'efficacité des deux lames situées sur ses avant-bras. Elles sont si coupantes qu'elles peuvent trancher un énorme tronc d'arbre en un coup.","9","18","","123","Insécateur"
"124","","","Lippoutou marche en rythme, ondule de tout son corps et se déhanche comme s'il dansait. Ses mouvements sont si communicatifs que les gens qui le voient sont soudain pris d'une terrible envie de bouger les hanches, sans réfléchir.","8","13","","124","Lippoutou"
"125","","","Lorsqu'une tempête approche, des groupes entiers de ce Pokémon se battent pour grimper sur les hauteurs, où la foudre a le plus de chance de tomber. Certaines villes se servent d'Élektek en guise de paratonnerres.","5","","","125","Élektek"
"126","","","Lorsqu'il se bat, Magmar fait jaillir des flammes de son corps pour intimider son adversaire. Les explosions enflammées de ce Pokémon déclenchent des vagues de chaleur qui embrasent la végétation environnante.","7","","","126","Magmar"
"127","","","Scarabrute est doté de cornes imposantes. Des pointes jaillissent de la surface de ses cornes. Ces pointes s'enfoncent profondément dans le corps de l'ennemi, l'empêchant ainsi de s'échapper.","9","9","","127","Scarabrute"
"128","","","Ce Pokémon n'est pas satisfait s'il ne détruit pas tout sur son passage. Lorsque Tauros ne trouve pas d'adversaire, il se rue sur de gros arbres et les déracine pour passer ses nerfs.","10","","","128","Tauros"
"129","","","Magicarpe est virtuellement inutile en combat. Il se contente de faire des ronds dans l'eau. On le considère plutôt faible. Pourtant, ce Pokémon est très robuste et peut survivre dans n'importe quel environnement, même très pollué.","4","","","129","Magicarpe"
"130","","","Lorsque Léviator commence à s'énerver, sa nature violente ne se calme qu'une fois qu'il a tout réduit en cendres. La fureur de ce Pokémon peut durer pendant un mois.","4","18","129","130","Léviator"
"131","","","Les Lokhlass sont en voie d'extinction. Le soir, on entend ce Pokémon chantonner une complainte mélancolique, espérant retrouver ses rares congénères.","4","8","130","131","Lokhlass"
"132","","","Métamorph peut modifier sa structure moléculaire pour prendre d'autres formes. Lorsqu'il essaie de se transformer de mémoire, il lui arrive de se tromper sur certains détails.","10","","","132","Métamorph"
"133","","","Évoli a une structure génétique instable qui se transforme en fonction de l'environnement dans lequel il vit. Ce Pokémon peut évoluer grâce aux radiations de diverses pierres.","10","","","133","Évoli"
"134","","","Aquali a subi une mutation spontanée. Des nageoires et des branchies sont apparues sur son corps, ce qui lui permet de vivre dans les fonds marins. Ce Pokémon peut contrôler l'eau à volonté.","4","","133","134","Aquali"
"135","","","Les cellules de Voltali génèrent un courant de faible intensité. Ce pouvoir est amplifié par l'électricité statique de ses poils, ce qui lui permet d'envoyer des éclairs. Sa fourrure hérissée est faite d'aiguilles chargées d'électricité.","5","","133","135","Voltali"
"136","","","La fourrure soyeuse de Pyroli a une fonction anatomique. Elle rejette la chaleur dans l'air pour que son corps ne surchauffe pas. La température du corps de ce Pokémon peut atteindre 900 °C.","7","","133","136","Pyroli"
